"This is a product name","Đây là tên sản phẩm"
"Add to Cart","Thêm vào giỏ hàng"
"Privacy and Cookie Policy","Chính sách xử lý dữ liệu cá nhân"
"Contact Us","Gửi góp ý, khiếu nại"
"Catalog","Danh mục"
"Products","Danh sách vật tư"
"Categories","Phân loại vật tư"
"Content","Nội dung"
"Magento Admin","Quản Trị"
"Name","Tên"
"Actions","Hành động"
"Delete","Xoá"
"Change status","Thay đổi trạng thái"
"Enable","Bật"
"Disable","Tắt"
"records found","dữ liệu"
"Thumbnail","Hình đại diện"
"Name","Tên"
"Regular Price","Giá gốc"
"Sign In","Đăng Nhập"
"Create an Account","Đăng Kí"
"or","hoặc"
